Intervention	InterventionOrder	Dist	MeanRelativePropReduction	Stdev	LowerTransmissionReduction	UpperTransmissionReduction	DateBegin	DateEnd
Flatten Curve 1	First	Even	35		35	35	3/20/2020	3/30/2020
Flatten Curve 1b	Later	Even	85		85	85	3/30/2020	4/11/2020
Cabin Fever	Later	Even	40		40	40	4/11/2020	4/28/2020
Open TX 1	Later	Even	46.9858705		46.9858705	46.9858705	4/28/2020	5/22/2020
X-Factor	Later	Even	70		70	70	4/17/2020	5/16/2020
Open TX 2	Later	Even	30		30	30	5/22/2020	6/3/2020
Open TX 3	Later	Even	10		10	10	6/3/2020	6/26/2020
Open TX 2	Later	Even	67.74193548		67.74193548	67.74193548	6/26/2020	12/31/2020
